Forecasted,LowBound,UpBound,Shut_Off,Forecast_Rolling,UpBound_Rolling,LowBound_Rolling,SO_Rolling
402.73,402.73,402.73,402.73,401.22499999999997,401.22499999999997,401.22499999999997,401.22499999999997
404.25,404.25,404.25,404.25,401.53333333333336,401.53333333333336,401.53333333333336,401.53333333333336
405.06,405.06,405.06,405.06,401.80999999999995,401.80999999999995,401.80999999999995,401.80999999999995
407.6,407.6,407.6,407.6,402.1641666666667,402.1641666666667,402.1641666666667,402.1641666666667
407.9,407.9,407.9,407.9,402.47666666666663,402.47666666666663,402.47666666666663,402.47666666666663
406.99,406.99,406.99,406.99,402.8116666666667,402.8116666666667,402.8116666666667,402.8116666666667
404.59,404.59,404.59,404.59,403.0725,403.0725,403.0725,403.0725
402.45,402.45,402.45,402.45,403.35083333333336,403.35083333333336,403.35083333333336,403.35083333333336
401.23,401.23,401.23,401.23,403.635,403.635,403.635,403.635
401.79,401.79,401.79,401.79,403.91,403.91,403.91,403.91
403.72,403.72,403.72,403.72,404.1975,404.1975,404.1975,404.1975
404.64,404.64,404.64,404.64,404.41249999999997,404.41249999999997,404.41249999999997,404.41249999999997
406.36,406.36,406.36,406.36,404.715,404.715,404.715,404.715
406.66,406.66,406.66,406.66,404.9158333333333,404.9158333333333,404.9158333333333,404.9158333333333
407.54,407.54,407.54,407.54,405.1225,405.1225,405.1225,405.1225
409.22,409.22,409.22,409.22,405.2575,405.2575,405.2575,405.2575
409.89,409.89,409.89,409.89,405.42333333333335,405.42333333333335,405.42333333333335,405.42333333333335
409.08,409.08,409.08,409.08,405.5975,405.5975,405.5975,405.5975
407.33,407.33,407.33,407.33,405.8258333333333,405.8258333333333,405.8258333333333,405.8258333333333
405.32,405.32,405.32,405.32,406.06500000000005,406.06500000000005,406.06500000000005,406.06500000000005
403.57,403.57,403.57,403.57,406.26,406.26,406.26,406.26
403.82,403.82,403.82,403.82,406.4291666666666,406.4291666666666,406.4291666666666,406.4291666666666
405.31,405.31,405.31,405.31,406.56166666666667,406.56166666666667,406.56166666666667,406.56166666666667
407.0,407.0,407.0,407.0,406.7583333333334,406.7583333333334,406.7583333333334,406.7583333333334
408.15,408.15,408.15,408.15,406.90749999999997,406.90749999999997,406.90749999999997,406.90749999999997
408.52,408.52,408.52,408.52,407.0625,407.0625,407.0625,407.0625
409.59,409.59,409.59,409.59,407.23333333333335,407.23333333333335,407.23333333333335,407.23333333333335
410.45,410.45,410.45,410.45,407.3358333333333,407.3358333333333,407.3358333333333,407.3358333333333
411.44,411.44,411.44,411.44,407.465,407.465,407.465,407.465
410.99,410.99,410.99,410.99,407.62416666666667,407.62416666666667,407.62416666666667,407.62416666666667
408.9,408.9,408.9,408.9,407.75500000000005,407.75500000000005,407.75500000000005,407.75500000000005
407.16,407.16,407.16,407.16,407.9083333333333,407.9083333333333,407.9083333333333,407.9083333333333
405.71,405.71,405.71,405.71,408.08666666666664,408.08666666666664,408.08666666666664,408.08666666666664
406.19,406.19,406.19,406.19,408.28416666666664,408.28416666666664,408.28416666666664,408.28416666666664
408.21,408.21,408.21,408.21,408.5258333333333,408.5258333333333,408.5258333333333,408.5258333333333
409.27,409.27,409.27,409.27,408.715,408.715,408.715,408.715
411.03,411.03,411.03,411.03,408.955,408.955,408.955,408.955
411.96,411.96,411.96,411.96,409.2416666666666,409.2416666666666,409.2416666666666,409.2416666666666
412.18,412.18,412.18,412.18,409.4575,409.4575,409.4575,409.4575
413.54,413.54,413.54,413.54,409.715,409.715,409.715,409.715
414.86,414.86,414.86,414.86,410.0,410.0,410.0,410.0
414.16,414.16,414.16,414.16,410.26416666666665,410.26416666666665,410.26416666666665,410.26416666666665
411.97,411.97,411.97,411.97,410.52,410.52,410.52,410.52
410.18,410.18,410.18,410.18,410.7716666666667,410.7716666666667,410.7716666666667,410.7716666666667
408.76,408.76,408.76,408.76,411.0258333333333,411.0258333333333,411.0258333333333,411.0258333333333
408.75,408.75,408.75,408.75,411.23916666666673,411.23916666666673,411.23916666666673,411.23916666666673
410.48,410.48,410.48,410.48,411.42833333333334,411.42833333333334,411.42833333333334,411.42833333333334
411.98,411.98,411.98,411.98,411.6541666666667,411.6541666666667,411.6541666666667,411.6541666666667
413.61,413.61,413.61,413.61,411.8691666666667,411.8691666666667,411.8691666666667,411.8691666666667
414.34,414.34,414.34,414.34,412.06750000000005,412.06750000000005,412.06750000000005,412.06750000000005
414.74,414.74,414.74,414.74,412.2808333333333,412.2808333333333,412.2808333333333,412.2808333333333
416.45,416.45,416.45,416.45,412.5233333333333,412.5233333333333,412.5233333333333,412.5233333333333
417.31,417.31,417.31,417.31,412.7275,412.7275,412.7275,412.7275
416.6,416.6,416.6,416.6,412.93083333333334,412.93083333333334,412.93083333333334,412.93083333333334
414.62,414.62,414.62,414.62,413.15166666666664,413.15166666666664,413.15166666666664,413.15166666666664
412.78,412.78,412.78,412.78,413.36833333333334,413.36833333333334,413.36833333333334,413.36833333333334
411.52,411.52,411.52,411.52,413.5983333333333,413.5983333333333,413.5983333333333,413.5983333333333
411.51,411.51,411.51,411.51,413.8283333333334,413.8283333333334,413.8283333333334,413.8283333333334
413.12,413.12,413.12,413.12,414.04833333333335,414.04833333333335,414.04833333333335,414.04833333333335
414.26,414.26,414.26,414.26,414.2383333333334,414.2383333333334,414.2383333333334,414.2383333333334
415.52,415.52,415.52,415.52,414.3975,414.3975,414.3975,414.3975
416.75,416.75,416.75,416.75,414.5983333333333,414.5983333333333,414.5983333333333,414.5983333333333
417.64,417.64,417.64,417.64,414.84,414.84,414.84,414.84
419.05,419.05,419.05,420.0,415.0566666666667,415.0566666666667,415.0566666666667,415.1358333333333
419.13,419.13,419.13,420.0,415.2083333333333,415.2083333333333,415.2083333333333,415.35999999999996
418.94,418.94,418.94,420.0,415.40333333333336,415.40333333333336,415.40333333333336,415.6433333333334
416.96,416.96,416.96,420.0,415.59833333333336,415.59833333333336,415.59833333333336,416.0916666666667
414.47,414.47,414.47,420.0,415.7391666666667,415.7391666666667,415.7391666666667,416.6933333333333
413.3,413.3,413.3,420.0,415.88750000000005,415.88750000000005,415.88750000000005,417.40000000000003
413.93,413.93,413.93,420.0,416.08916666666664,416.08916666666664,416.08916666666664,418.1075
415.01,415.01,415.01,420.0,416.24666666666667,416.24666666666667,416.24666666666667,418.68083333333334
416.71,416.71,416.71,420.0,416.4508333333333,416.4508333333333,416.4508333333333,419.15916666666664
418.19,418.19,418.19,420.0,416.67333333333335,416.67333333333335,416.67333333333335,419.5325
419.28,419.28,419.28,420.0,416.8841666666667,416.8841666666667,416.8841666666667,419.80333333333334
418.81,418.81,418.81,420.0,416.9816666666666,416.9816666666666,416.9816666666666,420.0
420.23,420.23,420.23,420.0,417.08,417.08,417.08,420.0
420.99,420.99,420.99,420.0,417.23499999999996,417.23499999999996,417.23499999999996,420.0
420.99,420.99,420.99,420.0,417.4058333333333,417.4058333333333,417.4058333333333,420.0
418.9,418.9,418.9,420.0,417.56750000000005,417.56750000000005,417.56750000000005,420.0
417.19,417.19,417.19,420.0,417.7941666666666,417.7941666666666,417.7941666666666,420.0
415.95,415.95,415.95,420.0,418.01499999999993,418.01499999999993,418.01499999999993,420.0
415.78,415.78,415.78,420.0,418.1691666666666,418.1691666666666,418.1691666666666,420.0
417.51,417.51,417.51,420.0,418.3775,418.3775,418.3775,420.0
418.9654296354262,418.361010366477,419.56984890437536,420.0,418.56545246961883,418.61582074203125,418.51508419720636,420.0
420.301106927517,419.58821586998073,421.0139979850533,420.0,418.74137804691196,418.85115390745244,418.6316021863715,420.0
421.1553425069028,420.3693711712731,421.9413138425325,420.0,418.89765658915377,419.0729300609967,418.7223831173108,420.0
421.8204806700027,420.967668720738,422.67329261926744,420.0,419.14852997832077,419.3948711126024,418.9021888440391,420.0
423.2825927518129,422.36781108322424,424.19737442040156,420.0,419.40291270763845,419.7254856476358,419.0803397676411,420.0
423.99245640172813,423.019644610289,424.9652681931673,420.0,419.6531174077825,420.0567579970664,419.2494768184985,420.0
423.4297856800407,422.4022157009443,424.45735565913714,420.0,419.8564328811192,420.34570430199454,419.36716146024384,420.0
421.5843163837116,420.5047621505592,422.663870616864,420.0,420.0801259130951,420.6593601867332,419.50089163945705,420.0
419.5815100683913,418.45236232664337,420.71065781013925,420.0,420.2794184187944,420.95274833757816,419.6060885000107,420.0
418.2279939611216,417.051341122315,419.40464679992823,420.0,420.46925124888793,421.24063557090557,419.69786692687035,420.0
418.46069150609645,417.23837845967637,419.68300455251654,420.0,420.6926422077293,421.5658859502819,419.8193984651767,420.0
420.03861289635705,418.77228495153946,421.30494084117464,420.0,420.9033599490924,421.8821310203798,419.924588877805,420.0
421.4967308071992,420.16727598387484,422.8261856305235,420.0,421.1143017134068,422.15349241422547,420.07511101258814,420.0
422.8395729836775,421.4576589484369,424.2214870189181,420.0,421.3258405514202,422.42078316704755,420.2308979357929,420.0
423.69615798676676,422.26520698663995,425.1271089868936,420.0,421.5375751747422,422.68626609574426,420.38888425374006,420.0
424.3636455735702,422.8852832610664,425.842007886074,420.0,421.7495055833728,422.95032570131144,420.5486854654341,420.0
425.82810707908385,424.3038074073332,427.3524067508345,420.0,421.96163177731205,423.21324506218093,420.71001849244317,420.0
426.5403201527025,424.9714275969273,428.10921270847774,420.0,422.1739537565599,423.47524043845675,420.872667074663,420.0
425.97999885471864,424.36774632678305,427.59225138265424,420.0,422.3864715211164,423.7364817487499,421.03646129348294,420.0
424.1368789820931,422.48240245578563,425.79135550840056,420.0,422.59918507098155,423.99710548971126,421.20126465225184,420.0
